"Code","Display","Codesystem","Category"
"71128006","Molybdenum ","http://snomed.info/sct","environment"
"71636003","Fibrinogen (123-I) ","http://snomed.info/sct","biologic"
"71759000","Product containing glyceryl trinitrate ","http://snomed.info/sct","medication"
"72015003","Iodinated (125-I) albumin ","http://snomed.info/sct","medication"
"72164009","Inositol ","http://snomed.info/sct","environment"
"72454006","Technetium-99m ","http://snomed.info/sct","medication"
"72511004","Fruit ","http://snomed.info/sct","food"
"72717003","Magnesium ","http://snomed.info/sct","environment"
"73212002","Product containing iodipamide ","http://snomed.info/sct","medication"
"73949004","Product containing atropine ","http://snomed.info/sct","medication"
"74626007","Drug diluent ","http://snomed.info/sct","medication"
"75777003","Cytokine ","http://snomed.info/sct","biologic"
"75959001","Product containing tamoxifen ","http://snomed.info/sct","medication"
"75969007","Product containing gonadotropin releasing factor ","http://snomed.info/sct","biologic"
"76155001","Product containing iopanoic acid ","http://snomed.info/sct","medication"
"76759004","Product containing disopyramide ","http://snomed.info/sct","medication"
"77313009","Technetium (99m-Tc) exametazime ","http://snomed.info/sct","medication"
"77671006","Antidiuretic hormone ","http://snomed.info/sct","biologic"
"78481003","Iofetamine (123-I) hydrochloride ","http://snomed.info/sct","medication"
"78570003","Indium (111-In) transferrin ","http://snomed.info/sct","biologic"
"79610008","Technetium (99m-Tc) albumin ","http://snomed.info/sct","medication"
"80237000","Cocoa butter ","http://snomed.info/sct","food"
"81761004","Technetium (99m-Tc) microaggregated albumin ","http://snomed.info/sct","medication"
"81839001","Medicinal product acting as anticoagulant agent ","http://snomed.info/sct","medication"
"81911001","Chewing tobacco ","http://snomed.info/sct","environment"
"82264009","Product containing homatropine ","http://snomed.info/sct","medication"
"82566005","Animal feed ","http://snomed.info/sct","environment"
"82573000","Product containing lidocaine ","http://snomed.info/sct","medication"
"83619009","Polyvinyl alcohol ","http://snomed.info/sct","environment"
"83881004","Aluminium oxide ","http://snomed.info/sct","environment"
"84217005","Titan yellow stain ","http://snomed.info/sct","environment"
"84386009","Tribromoethanol ","http://snomed.info/sct","medication"
"84812008","Product containing heparin ","http://snomed.info/sct","medication"
"84847000","Platinum ","http://snomed.info/sct","environment"
"85272000","Product containing nifedipine ","http://snomed.info/sct","medication"
"85596006","Fluorescein stain ","http://snomed.info/sct","environment"
"85693008","Technetium (99m-Tc) aggregated albumin ","http://snomed.info/sct","medication"
"86308005","Product containing sympathomimetic ","http://snomed.info/sct","medication"
"87233003","Product containing low molecular weight heparin ","http://snomed.info/sct","medication"
"87445005","Ipodate ","http://snomed.info/sct","medication"
"87612001","Blood ","http://snomed.info/sct","biologic"
"87708000","Vitamin ","http://snomed.info/sct","medication"
"87853006","Technetium (99m-Tc) iron ascorbate ","http://snomed.info/sct","medication"
"87958003","Ferrous (59-Fe) citrate ","http://snomed.info/sct","medication"
"88488004","Lead ","http://snomed.info/sct","environment"
"89811004","Gluten ","http://snomed.info/sct","food"
"89889006","Cotton fiber ","http://snomed.info/sct","environment"
"90733003","Metrizamide ","http://snomed.info/sct","medication"
"91598004","Benzoyl peroxide ","http://snomed.info/sct","environment"
"91606004","Cochineal stain ","http://snomed.info/sct","environment"
"96218000","Acepromazine ","http://snomed.info/sct","medication"
"96227004","Zolazepam hydrochloride ","http://snomed.info/sct","medication"
"96229001","Azaperone ","http://snomed.info/sct","medication"
"96230006","Xylazine hydrochloride ","http://snomed.info/sct","medication"
"96265006","Tiletamine hydrochloride ","http://snomed.info/sct","medication"
"96300001","Product containing propafenone ","http://snomed.info/sct","medication"
"96301002","Product containing sotalol ","http://snomed.info/sct","medication"
"96302009","Product containing 3-hydroxy-3-methylglutaryl-coenzyme A reductase inhibitor ","http://snomed.info/sct","medication"
"96308008","Product containing angiotensin II receptor antagonist ","http://snomed.info/sct","medication"
"96328007","Medicinal product acting as decongestant ","http://snomed.info/sct","medication"
"96390006","Technetium (99m-Tc) medronate ","http://snomed.info/sct","medication"
"102259006","Citrus fruit ","http://snomed.info/sct","food"
"102261002","Strawberry ","http://snomed.info/sct","food"
"102262009","Chocolate ","http://snomed.info/sct","food"
"102263004","Eggs (edible) ","http://snomed.info/sct","food"
"102264005","Cheese ","http://snomed.info/sct","food"
"102737005","High density lipoprotein cholesterol ","http://snomed.info/sct","biologic"
"102739008","Low density lipoprotein cholesterol ","http://snomed.info/sct","biologic"
"108502004","Product containing adenosine ","http://snomed.info/sct","medication"
"108524004","Product containing nisoldipine ","http://snomed.info/sct","medication"
"108526002","Product containing nicardipine ","http://snomed.info/sct","medication"
"108530004","Product containing bepridil ","http://snomed.info/sct","medication"
"108533002","Product containing isradipine ","http://snomed.info/sct","medication"
"108535009","Product containing felodipine ","http://snomed.info/sct","medication"
"108537001","Product containing amlodipine ","http://snomed.info/sct","medication"
"108899006","Medicinal product acting as contraceptive ","http://snomed.info/sct","medication"
"108971003","Product containing ticlopidine ","http://snomed.info/sct","medication"
"108979001","Product containing clopidogrel ","http://snomed.info/sct","medication"
"109029006","Raloxifene ","http://snomed.info/sct","medication"
"109066000","Hydrocortisone sodium succinate ","http://snomed.info/sct","medication"
"109081006","Product containing metformin ","http://snomed.info/sct","medication"
"109123009","Product containing sildenafil ","http://snomed.info/sct","medication"
"109218004","Product containing iohexol ","http://snomed.info/sct","medication"
"109219007","Product containing iopamidol ","http://snomed.info/sct","medication"
"109222009","Product containing ioversol ","http://snomed.info/sct","medication"
"111088007","Latex ","http://snomed.info/sct","environment"
"111095003","Formaldehyde ","http://snomed.info/sct","environment"
"111139005","Inotropic agent ","http://snomed.info/sct","medication"
"111159009","Rose bengal (131-I) sodium ","http://snomed.info/sct","medication"
"111160004","Sodium iodide (131-I) ","http://snomed.info/sct","medication"
"111162007","Technetium (99m-Tc) stannous etidronate ","http://snomed.info/sct","medication"
"116101001","Product containing gonadotropin releasing hormone receptor antagonist ","http://snomed.info/sct","medication"
"116176007","Mixed venous blood ","http://snomed.info/sct","biologic"
"116593003","Methylprednisolone ","http://snomed.info/sct","medication"
"116602009","Prednisone ","http://snomed.info/sct","medication"
"116637007","Antigen of Fungus ","http://snomed.info/sct","biologic"
"125707004","Alphadolone acetate ","http://snomed.info/sct","medication"
"226314006","Medicinal product acting as vitamin supplement ","http://snomed.info/sct","medication"
"226491003","Apple juice ","http://snomed.info/sct","food"
"226915003","Red meat ","http://snomed.info/sct","food"
"226934003","Pork ","http://snomed.info/sct","food"
"227144008","Tuna fish ","http://snomed.info/sct","food"
"227150003","Mussel ","http://snomed.info/sct","food"
"227313005","Pulse vegetable ","http://snomed.info/sct","food"
"227374009","Herbs and spices ","http://snomed.info/sct","food"
"227388008","Cinnamon ","http://snomed.info/sct","food"
"227389000","Clove ","http://snomed.info/sct","food"
"227395004","Curry powder ","http://snomed.info/sct","food"
"227400003","Ginger ","http://snomed.info/sct","food"
"227408005","Paprika ","http://snomed.info/sct","food"
"227425007","Figs ","http://snomed.info/sct","food"
